Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
Type B,Good,Home furniture,988,1000+,0-2 Years,Female,No,Property - Real Estate,21,Renting,Services,No,Yes
Type B,Average (known delays),Learning / Edu purposes,11764,200-500,5-7 Years,Male,No,No Security,32,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1234,0-200,7+ Years,Divorced,No,Property - Real Estate,46,Renting,Skilled Labor,No,No
Type B,critical,Support for Business,1907,No Data,2-5 Years,Married,No,Property - Real Estate,29,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Buying a New Car,2919,No Data,7+ Years,Male,No,Vehicle,42,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,2040,0-200,0-2 Years,Married,No,Savings Account,21,House Owner,Skilled Labor,No,No
Type B,Good,TV,1980,0-200,7+ Years,Female,No,Vehicle,20,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1047,No Data,2-5 Years,Female,No,Savings Account,33,House Owner,Skilled Labor,No,No
Type B,Good,Buying a Used Car,2044,No Data,2-5 Years,Male,No,Vehicle,30,House Owner,Skilled Labor,No,Yes
Type B,critical,Buying a New Car,965,0-200,5-7 Years,Male,No,Property - Real Estate,47,House Owner,Services,No,No
Type B,Good,Home furniture,2778,No Data,7+ Years,Female,No,Savings Account,27,House Owner,Skilled Labor,No,No
Type B,Good,Buying a Used Car,2791,0-200,2-5 Years,Married,No,Vehicle,19,Renting,Skilled Labor,No,Yes
Type B,Good,All other,11332,0-200,2-5 Years,Male,Yes,Vehicle,27,House Owner,Professional / Management,No,No
Type B,Good,TV,1496,No Data,2-5 Years,Married,No,Property - Real Estate,23,House Owner,Skilled Labor,No,No
Type B,Average (known delays),All other,2641,0-200,2-5 Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,No
Type B,critical,Home furniture,5112,0-200,2-5 Years,Female,No,Vehicle,32,House Owner,Professional / Management,No,No
Type B,Good,TV,2582,0-200,2-5 Years,Male,Yes,Property - Real Estate,36,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Renovation,1520,1000+,2-5 Years,Married,No,Savings Account,63,House Owner,Skilled Labor,No,No
Type B,Good,Home furniture,3035,0-200,0-2 Years,Female,No,Property - Real Estate,32,Renting,Professional / Management,No,Yes
Type B,Good,Advance Edu/training,759,No Data,7+ Years,Male,No,Savings Account,38,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,3109,200-500,0-2 Years,Married,No,Vehicle,24,Renting,Skilled Labor,No,No
Type B,critical,TV,1262,0-200,2-5 Years,Married,No,Vehicle,33,House Owner,Skilled Labor,No,No
Type B,Good,Support for Business,1047,200-500,5-7 Years,Male,No,Property - Real Estate,41,House Owner,Services,No,Yes
Type B,critical,TV,3588,0-200,2-5 Years,Female,No,Property - Real Estate,25,House Owner,Services,No,No
Type B,Good,Buying a New Car,1209,0-200,0-2 Years,Male,No,Savings Account,26,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Buying a New Car,1220,0-200,Unemployed,Male,No,Savings Account,48,House Owner,Professional / Management,No,No
Type B,Good,Support for Business,8334,0-200,7+ Years,Female,No,No Security,42,Free,Professional / Management,No,No
Type B,Good,TV,373,No Data,7+ Years,Male,No,Savings Account,39,House Owner,Skilled Labor,No,Yes
Type B,Good,Home furniture,9043,200-500,0-2 Years,Male,Yes,No Security,27,Renting,Professional / Management,No,No
Type B,Good,TV,1317,0-200,7+ Years,Married,Yes,Property - Real Estate,34,House Owner,Services,No,Yes
Type B,critical,TV,1223,200-500,0-2 Years,Male,No,No Security,36,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Buying a New Car,6853,200-500,Unemployed,Male,No,Savings Account,32,House Owner,Professional / Management,No,No
Type B,Average (known delays),TV,599,0-200,2-5 Years,Married,Yes,Property - Real Estate,18,Renting,Skilled Labor,No,No
Type B,Good,TV,1115,0-200,2-5 Years,Female,Yes,Property - Real Estate,28,House Owner,Services,No,Yes
Type B,Good,Buying a Used Car,7967,0-200,0-2 Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type B,Good,Learning / Edu purposes,2274,0-200,5-7 Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,2650,200-500,2-5 Years,Female,No,Vehicle,30,Renting,Skilled Labor,No,No
Type B,critical,Home furniture,3622,0-200,7+ Years,Female,No,Savings Account,38,House Owner,Skilled Labor,No,No
Type B,Good,TV,1543,0-200,0-2 Years,Married,No,Property - Real Estate,23,Renting,Skilled Labor,No,No
Type B,critical,Buying a New Car,1997,200-500,0-2 Years,Male,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type B,Good,Learning / Edu purposes,1219,0-200,5-7 Years,Female,No,Savings Account,66,House Owner,Professional / Management,No,Yes
Type B,Good,TV,1333,0-200,0-2 Years,Male,No,Vehicle,24,House Owner,Skilled Labor,No,No
Type B,Good,Buying a New Car,2297,200-500,0-2 Years,Female,No,Vehicle,30,House Owner,Skilled Labor,No,No
Type B,critical,Home furniture,1940,0-200,0-2 Years,Male,No,Property - Real Estate,32,House Owner,Services,No,No
Type B,Good,Buying a New Car,12396,No Data,2-5 Years,Male,No,No Security,39,Free,Skilled Labor,No,No
Type B,Average (known delays),Support for Business,4724,No Data,2-5 Years,Male,No,Savings Account,39,House Owner,Professional / Management,No,Yes
Type B,Average (known delays),TV,1565,200-500,5-7 Years,Female,No,Savings Account,23,Renting,Skilled Labor,No,Yes
Type B,Good,TV,3988,No Data,5-7 Years,Male,No,Vehicle,40,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,1094,0-200,7+ Years,Male,No,Vehicle,28,House Owner,Services,No,Yes
Type B,Good,TV,2949,0-200,5-7 Years,Female,No,Property - Real Estate,29,House Owner,Skilled Labor,No,Yes
Type B,critical,Buying a New Car,2828,0-200,0-2 Years,Divorced,No,Vehicle,25,House Owner,Skilled Labor,No,No
Type B,critical,Buying a New Car,1076,0-200,7+ Years,Male,Yes,Property - Real Estate,30,House Owner,Skilled Labor,No,No
Type B,critical,Buying a New Car,3140,0-200,0-2 Years,Male,No,Property - Real Estate,48,House Owner,Services,No,No
Type B,Good,Renovation,2400,0-200,0-2 Years,Male,No,No Security,33,Renting,Services,No,No
Type B,Average (known delays),Buying a New Car,1975,No Data,2-5 Years,Female,No,Vehicle,41,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,2734,0-200,2-5 Years,Female,No,Savings Account,19,Renting,Services,No,No
Type B,Average (known delays),Buying a New Car,936,200-500,0-2 Years,Female,No,Savings Account,30,House Owner,Services,No,No
Type B,Good,Support for Business,4244,0-200,2-5 Years,Male,No,Property - Real Estate,35,House Owner,Services,No,No
Type B,Good,TV,2349,0-200,0-2 Years,Female,Yes,Property - Real Estate,43,House Owner,Skilled Labor,No,Yes
Type B,Good,Home furniture,936,0-200,2-5 Years,Female,No,Savings Account,31,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Learning / Edu purposes,1854,0-200,5-7 Years,Female,No,No Security,34,Free,Services,No,No
Type B,Good,TV,2688,200-500,2-5 Years,Female,Yes,No Security,50,Free,Skilled Labor,No,No
Type B,Good,Support for Business,12224,No Data,2-5 Years,Male,No,Vehicle,49,House Owner,Professional / Management,No,Yes
Type B,Average (known delays),TV,9169,No Data,2-5 Years,Male,No,No Security,26,Free,Professional / Management,No,Yes
Type B,Good,Home furniture,3450,200-500,2-5 Years,Female,Yes,Vehicle,22,Renting,Skilled Labor,No,No
Type B,critical,Support for Business,3654,0-200,5-7 Years,Male,No,Savings Account,26,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Buying a New Car,1441,200-500,5-7 Years,Male,No,No Security,27,House Owner,Skilled Labor,No,No
Type B,Good,TV,1447,No Data,0-2 Years,Male,No,Savings Account,21,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1366,0-200,0-2 Years,Female,No,Vehicle,23,House Owner,Services,No,No
Type B,Good,Renovation,1325,0-200,7+ Years,Male,No,Vehicle,38,House Owner,Services,No,Yes
Type B,Good,Home furniture,1925,0-200,2-5 Years,Male,No,Savings Account,37,House Owner,Services,No,No
Type B,Average (known delays),Buying a New Car,8100,200-500,7+ Years,Male,No,Vehicle,41,House Owner,Professional / Management,No,No
Type B,Good,Buying a New Car,902,0-200,7+ Years,Male,No,Vehicle,39,House Owner,Services,No,No
Type B,Good,Support for Business,4232,0-200,2-5 Years,Female,No,Vehicle,30,House Owner,Skilled Labor,No,Yes
Type B,critical,Home furniture,6370,0-200,7+ Years,Male,No,No Security,40,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Home furniture,1066,0-200,Unemployed,Male,No,Savings Account,35,House Owner,Professional / Management,No,No
Type B,Average (known delays),Home furniture,3511,1000+,2-5 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,5601,200-500,2-5 Years,Married,No,Vehicle,22,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Support for Business,9862,200-500,5-7 Years,Male,No,Savings Account,33,House Owner,Services,No,Yes
Type B,Average (known delays),Buying a New Car,2878,200-500,7+ Years,Male,No,No Security,30,Free,Skilled Labor,No,Yes
Type B,Good,Renovation,2638,200-500,2-5 Years,Female,No,Property - Real Estate,23,House Owner,Services,No,Yes
Type B,Good,TV,2914,200-500,0-2 Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,1118,0-200,5-7 Years,Male,Yes,Property - Real Estate,28,House Owner,Skilled Labor,Yes,Yes
Type B,Average (known delays),Support for Business,2517,200-500,7+ Years,Male,No,Savings Account,41,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,2543,0-200,0-2 Years,Female,No,Savings Account,32,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,6562,200-500,5-7 Years,Male,No,Savings Account,25,House Owner,Skilled Labor,No,No
Type B,Good,Home furniture,2989,0-200,0-2 Years,Female,No,Savings Account,25,Renting,Skilled Labor,No,No
Type B,Good,TV,1223,0-200,7+ Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,2129,0-200,2-5 Years,Male,No,Property - Real Estate,37,House Owner,Services,No,Yes
Type B,Good,Buying a New Car,14047,0-200,5-7 Years,Male,No,No Security,29,House Owner,Professional / Management,No,No
Type B,Good,Buying a Used Car,6162,200-500,7+ Years,Married,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Learning / Edu purposes,442,1000+,0-2 Years,Female,No,Savings Account,22,Renting,Skilled Labor,No,No
Type B,Good,TV,801,500-1000,2-5 Years,Female,No,Property - Real Estate,66,House Owner,Services,No,Yes
Type B,Average (known delays),Support for Business,6430,0-200,7+ Years,Female,No,No Security,57,Renting,Skilled Labor,No,No
Type B,Average (known delays),TV,6418,0-200,0-2 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,No
Type B,Good,TV,777,0-200,5-7 Years,Female,Yes,Property - Real Estate,42,House Owner,Services,No,Yes
Type B,Average (known delays),Home Devices,4007,No Data,0-2 Years,Female,No,No Security,30,House Owner,Not Employed,No,Yes
Type B,Good,Buying a Used Car,11572,0-200,2-5 Years,Female,No,Vehicle,22,Renting,Professional / Management,No,No
Type B,Good,Support for Business,4293,200-500,2-5 Years,Female,No,Vehicle,26,Renting,Services,No,No
Type B,Average (known delays),TV,1058,0-200,2-5 Years,Male,No,Property - Real Estate,21,House Owner,Services,No,No
Type B,Good,Support for Business,847,200-500,5-7 Years,Female,No,Property - Real Estate,24,Renting,Services,No,Yes
Type B,Good,TV,1164,0-200,7+ Years,Married,Yes,Property - Real Estate,42,House Owner,Services,No,Yes
Type B,critical,Home furniture,3630,0-200,7+ Years,Male,No,Vehicle,26,Renting,Skilled Labor,No,No
Type B,Good,Renovation,3879,0-200,Unemployed,Female,No,Vehicle,67,House Owner,Skilled Labor,No,Yes
Type B,critical,TV,4947,0-200,5-7 Years,Male,Yes,Property - Real Estate,27,House Owner,Skilled Labor,No,No
Type B,Good,Advance Edu/training,1415,0-200,2-5 Years,Male,No,Property - Real Estate,33,House Owner,Services,No,Yes
Type B,Good,Buying a New Car,849,200-500,0-2 Years,Female,No,Savings Account,25,House Owner,Services,No,No
Type B,Good,Buying a Used Car,6473,No Data,Unemployed,Divorced,No,Property - Real Estate,61,House Owner,Professional / Management,No,Yes
Type B,Good,Support for Business,1955,1000+,2-5 Years,Male,No,Savings Account,37,House Owner,Services,No,Yes
Type B,Average (known delays),Learning / Edu purposes,6238,0-200,7+ Years,Male,No,No Security,49,Free,Skilled Labor,No,No
Type B,Good,Support for Business,1202,0-200,7+ Years,Female,No,Savings Account,39,House Owner,Skilled Labor,No,No
Type B,Good,Buying a New Car,1563,No Data,0-2 Years,Male,No,Property - Real Estate,34,House Owner,Not Employed,No,Yes
Type B,critical,TV,1813,0-200,7+ Years,Female,Yes,Property - Real Estate,47,Renting,Services,No,No
Type B,Good,Buying a New Car,7490,No Data,Unemployed,Female,No,Property - Real Estate,22,Renting,Not Employed,No,Yes
Type B,Good,TV,606,0-200,0-2 Years,Married,No,Property - Real Estate,27,House Owner,Services,Yes,Yes
Type B,Average (known delays),Buying a Used Car,9296,0-200,Unemployed,Male,No,No Security,55,Free,Professional / Management,No,No
Type B,Good,Buying a New Car,1792,0-200,0-2 Years,Female,No,Property - Real Estate,27,Renting,Not Employed,No,No
Type B,Good,Support for Business,911,0-200,0-2 Years,Married,No,Property - Real Estate,27,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,488,0-200,5-7 Years,Married,Yes,Property - Real Estate,27,House Owner,Services,No,Yes
Type B,Average (known delays),Buying a New Car,7444,0-200,2-5 Years,Female,No,Savings Account,54,Renting,Skilled Labor,No,No
Type B,Average (known delays),Support for Business,6691,No Data,2-5 Years,Male,No,No Security,38,Free,Skilled Labor,No,Yes
Type B,Good,TV,5092,No Data,7+ Years,Female,No,Vehicle,42,House Owner,Skilled Labor,No,Yes
Type B,Good,Home furniture,3983,No Data,5-7 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type B,critical,Buying a New Car,1325,1000+,2-5 Years,Female,No,Vehicle,39,House Owner,Skilled Labor,No,Yes
Type B,critical,Buying a New Car,2197,No Data,7+ Years,Male,No,Property - Real Estate,37,House Owner,Skilled Labor,No,Yes
Type B,Good,Home furniture,4074,0-200,5-7 Years,Divorced,No,Vehicle,41,House Owner,Skilled Labor,No,No
Type B,critical,Support for Business,2829,No Data,5-7 Years,Male,No,No Security,36,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,15689,0-200,2-5 Years,Male,No,Vehicle,23,House Owner,Skilled Labor,No,No
Type B,critical,Buying a Used Car,5803,0-200,2-5 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,No
Type B,Good,Learning / Edu purposes,3716,No Data,2-5 Years,Married,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,3215,No Data,2-5 Years,Female,No,Property - Real Estate,35,House Owner,Services,No,Yes
Type B,critical,Home furniture,4744,0-200,0-2 Years,Female,No,Vehicle,27,House Owner,Services,No,No
Type B,Good,TV,3001,No Data,7+ Years,Female,No,Vehicle,26,House Owner,Skilled Labor,No,Yes
Type B,Good,All other,18427,0-200,2-5 Years,Female,No,Savings Account,32,House Owner,Professional / Management,Yes,No
Type B,Good,Buying a New Car,2014,0-200,5-7 Years,Male,No,Savings Account,32,Renting,Skilled Labor,No,Yes
Type B,Good,TV,1688,0-200,0-2 Years,Female,No,Vehicle,23,House Owner,Skilled Labor,No,No
Type B,Average (known delays),TV,1938,200-500,0-2 Years,Male,No,No Security,31,House Owner,Professional / Management,No,No
Type B,Good,TV,2073,0-200,0-2 Years,Married,No,Vehicle,32,Renting,Professional / Management,No,Yes
Type B,Good,Learning / Edu purposes,6291,0-200,2-5 Years,Male,No,No Security,43,Free,Skilled Labor,No,No
Type B,Good,Buying a New Car,8373,500-1000,0-2 Years,Female,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type B,critical,Support for Business,3600,0-200,Unemployed,Married,No,Vehicle,38,House Owner,Not Employed,No,No
Type B,Good,Buying a Used Car,4115,500-1000,0-2 Years,Female,No,Vehicle,27,Renting,Skilled Labor,No,No
Type B,critical,TV,1158,0-200,7+ Years,Male,No,Property - Real Estate,39,House Owner,Services,No,No
Type B,Good,Home furniture,3082,200-500,7+ Years,Male,No,No Security,28,Free,Skilled Labor,No,Yes
Type B,Average (known delays),Buying a New Car,2373,0-200,2-5 Years,Divorced,No,Savings Account,49,House Owner,Skilled Labor,No,No
Type B,Good,Renovation,474,0-200,0-2 Years,Married,No,Savings Account,21,House Owner,Services,No,Yes
Type B,Good,TV,1720,No Data,2-5 Years,Female,No,Vehicle,25,House Owner,Skilled Labor,No,Yes
Type B,critical,TV,2539,500-1000,2-5 Years,Male,No,Savings Account,21,House Owner,Services,No,No
Type B,Good,Renovation,1522,200-500,2-5 Years,Male,Yes,Property - Real Estate,21,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,770,0-200,2-5 Years,Female,Yes,Property - Real Estate,64,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Support for Business,2440,No Data,7+ Years,Male,No,Savings Account,41,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Buying a New Car,1266,200-500,2-5 Years,Married,No,Savings Account,24,Renting,Skilled Labor,No,No
Type B,critical,Home furniture,8393,0-200,5-7 Years,Male,No,Savings Account,48,House Owner,Skilled Labor,No,No
Type B,critical,TV,1758,0-200,7+ Years,Male,No,Savings Account,49,House Owner,Services,No,No
Type B,critical,Buying a Used Car,4594,200-500,Unemployed,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,1582,200-500,2-5 Years,Female,No,Savings Account,25,Renting,Services,No,Yes
Type B,Good,Buying a New Car,1473,200-500,7+ Years,Married,No,Property - Real Estate,40,Renting,Services,No,Yes
Type B,Good,Buying a Used Car,2464,No Data,0-2 Years,Married,No,Vehicle,25,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,1782,0-200,2-5 Years,Male,No,Property - Real Estate,26,Renting,Services,No,Yes
Type B,Good,Home furniture,3986,0-200,5-7 Years,Female,No,Savings Account,27,Renting,Skilled Labor,No,Yes
Type B,Good,TV,1966,0-200,5-7 Years,Male,No,Vehicle,29,Renting,Professional / Management,No,Yes
Type B,Good,TV,2112,0-200,5-7 Years,Married,No,Property - Real Estate,31,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1205,200-500,2-5 Years,Male,No,No Security,34,Renting,Skilled Labor,Yes,Yes
Type B,Good,TV,449,0-200,Unemployed,Female,Yes,Property - Real Estate,22,Renting,Skilled Labor,No,No
Type B,Good,TV,1905,200-500,2-5 Years,Male,No,Vehicle,28,Renting,Professional / Management,No,Yes
Type B,Good,Buying a Used Car,4695,No Data,0-2 Years,Female,No,Vehicle,20,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a Used Car,4816,No Data,5-7 Years,Female,No,Savings Account,26,Renting,Services,No,Yes
Type B,Good,Home Devices,1251,0-200,0-2 Years,Female,No,Property - Real Estate,24,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,1783,0-200,2-5 Years,Married,No,Savings Account,21,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1284,No Data,5-7 Years,Female,No,Savings Account,23,Renting,Skilled Labor,No,Yes
Type B,Good,TV,1146,No Data,0-2 Years,Female,No,Property - Real Estate,19,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,1602,500-1000,2-5 Years,Male,No,No Security,38,Renting,Services,Yes,Yes
Type B,Good,Buying a New Car,3204,1000+,5-7 Years,Female,No,Vehicle,22,Renting,Skilled Labor,No,Yes
Type B,Good,Renovation,675,500-1000,5-7 Years,Married,No,Property - Real Estate,21,Renting,Services,No,Yes
Type B,Good,Buying a New Car,1423,200-500,2-5 Years,Male,No,Property - Real Estate,33,Renting,Services,Yes,Yes
Type B,Good,Buying a New Car,3523,0-200,2-5 Years,Male,Yes,Savings Account,24,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a Used Car,5445,No Data,Unemployed,Female,No,Savings Account,28,Renting,Professional / Management,No,Yes
Type B,Good,Home furniture,1392,0-200,2-5 Years,Female,No,Property - Real Estate,24,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,1992,0-200,0-2 Years,Female,Yes,Vehicle,21,Renting,Skilled Labor,No,No
Type B,Good,Buying a Used Car,1248,500-1000,2-5 Years,Male,No,Savings Account,51,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,1126,500-1000,2-5 Years,Female,No,Vehicle,31,Renting,Services,No,No
Type B,Good,Buying a New Car,2587,0-200,2-5 Years,Female,No,Property - Real Estate,22,Renting,Skilled Labor,No,No
Type B,Good,Buying a Used Car,2607,1000+,2-5 Years,Female,No,Vehicle,27,Renting,Skilled Labor,No,Yes
Type B,Good,Buying a Used Car,2920,No Data,0-2 Years,Female,No,Property - Real Estate,31,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,3064,500-1000,7+ Years,Male,No,No Security,33,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,2313,200-500,0-2 Years,Female,No,Savings Account,22,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,610,0-200,0-2 Years,Female,No,Property - Real Estate,23,Renting,Services,No,Yes
Type B,Good,Buying a New Car,6767,No Data,2-5 Years,Male,No,Vehicle,69,Renting,Skilled Labor,No,No
Type B,Good,Buying a New Car,3578,200-500,2-5 Years,Male,Yes,Property - Real Estate,28,Renting,Skilled Labor,Yes,Yes
Type B,Good,Home furniture,2216,0-200,2-5 Years,Male,No,Property - Real Estate,24,Renting,Services,No,No
Type B,Good,Home furniture,2238,500-1000,2-5 Years,Female,No,Vehicle,18,Renting,Skilled Labor,No,Yes
Type B,Good,Home furniture,2191,No Data,5-7 Years,Female,No,Property - Real Estate,34,Renting,Services,No,Yes
Type B,Good,TV,1398,No Data,2-5 Years,Married,No,Property - Real Estate,41,Renting,Skilled Labor,No,Yes
Type B,Good,TV,3581,0-200,7+ Years,Female,No,Vehicle,52,Renting,Professional / Management,No,Yes
Type B,Good,TV,7179,No Data,5-7 Years,Married,No,Savings Account,28,Renting,Skilled Labor,No,Yes
Type B,Good,Support for Business,4862,0-200,Unemployed,Male,No,Vehicle,33,Renting,Professional / Management,No,No
Type C,Good,Home furniture,-548541254,No Data,Unemployed,Female_,No,Vehicle,327,House Owner,Skilled Labor,Yes,Yes
Type C,critical,TV,1182,No Data,7+ Years,Male,No,Property - Real Estate,68,House Owner,Skilled Labor,No,Yes
Type C,Good,Home furniture,7887,0-200,5-7 Years,Male,Yes,Savings Account,47,Free,Skilled Labor,No,Yes
Type C,Average (known delays),Buying a New Car,4889,0-200,2-5 Years,Male,No,No Security,52,Free,Skilled Labor,No,No
Type C,Good,Support for Business,4317,0-200,0-2 Years,Female,No,Savings Account,24,Renting,Skilled Labor,No,No
Type C,critical,Buying a New Car,1212,0-200,7+ Years,Male,No,Vehicle,59,House Owner,Services,No,No
Type C,Good,Buying a New Car,1423,0-200,2-5 Years,Female,No,Vehicle,27,Renting,Skilled Labor,No,Yes
Type C,Good,Buying a New Car,,,,,,,,,,,
Type C,Good,TV,1300,200-500,2-5 Years,Female,No,Vehicle,32,House Owner,Services,No,No
Type C,Good,Support for Business,8079,No Data,0-2 Years,Male,No,Vehicle,23,House Owner,Skilled Labor,No,Yes
Type C,Good,TV,2653,500-1000,2-5 Years,Male,No,Property - Real Estate,46,Renting,Skilled Labor,No,Yes
Type C,critical,Buying a New Car,2245,0-200,0-2 Years,Male,No,Property - Real Estate,49,Renting,Services,Yes,No
Type C,Good,Home furniture,1375,0-200,2-5 Years,Male,No,Property - Real Estate,35,House Owner,Services,No,Yes
Type C,Average (known delays),Support for Business,6855,0-200,7+ Years,Male,No,No Security,61,House Owner,Skilled Labor,No,No
Type C,Good,Home furniture,4026,0-200,2-5 Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type C,critical,Buying a Used Car,6197,200-500,5-7 Years,Married,No,Vehicle,24,Renting,Skilled Labor,No,Yes
Type C,critical,Buying a Used Car,6146,0-200,7+ Years,Female,No,No Security,58,Free,Services,No,No
Type C,Good,Buying a Used Car,1359,500-1000,Unemployed,Female,No,Savings Account,24,Renting,Not Employed,No,Yes
Type C,critical,Home furniture,6236,0-200,0-2 Years,Female,Yes,No Security,24,Renting,Services,No,No
Type C,critical,All other,1177,0-200,7+ Years,Male,No,No Security,52,Free,Professional / Management,No,No
Type C,Good,Learning / Edu purposes,1993,No Data,7+ Years,Male,No,No Security,40,House Owner,Professional / Management,No,No
Type C,critical,Buying a Used Car,1546,0-200,7+ Years,Male,No,No Security,64,Free,Professional / Management,No,No
Type C,Good,TV,3980,0-200,0-2 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,No
Type C,Good,All other,1764,0-200,7+ Years,Female,Yes,Property - Real Estate,60,House Owner,Services,No,Yes
Type C,Good,TV,2326,0-200,7+ Years,Male,No,Property - Real Estate,51,House Owner,Services,No,Yes
Type C,Good,Buying a New Car,2251,200-500,5-7 Years,Male,No,Vehicle,29,House Owner,Professional / Management,No,Yes
Type C,Good,Renovation,1120,0-200,5-7 Years,Male,No,Property - Real Estate,26,House Owner,Skilled Labor,No,No
Type C,critical,Buying a Used Car,1415,0-200,7+ Years,Male,No,Property - Real Estate,53,House Owner,Skilled Labor,No,No
Type C,Good,Home furniture,7723,No Data,0-2 Years,Female,No,Savings Account,28,House Owner,Skilled Labor,Yes,Yes
Type C,Good,TV,1692,500-1000,7+ Years,Married,No,Property - Real Estate,37,House Owner,Skilled Labor,No,Yes
Type C,Good,TV,7182,No Data,5-7 Years,Female,No,Vehicle,30,House Owner,Professional / Management,No,No
Type C,critical,Home furniture,2145,No Data,0-2 Years,Female,Yes,Property - Real Estate,26,Renting,Skilled Labor,Yes,Yes
Type C,critical,Home furniture,4286,500-1000,2-5 Years,Female,No,Vehicle,22,House Owner,Skilled Labor,No,No
Type C,Good,TV,1851,0-200,2-5 Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,No,No
Type C,critical,Buying a New Car,2129,0-200,2-5 Years,Male,No,Savings Account,30,House Owner,Skilled Labor,No,No
Type C,Good,TV,704,0-200,2-5 Years,Married,No,Property - Real Estate,42,House Owner,Services,No,Yes
Type C,critical,Buying a New Car,3507,0-200,2-5 Years,Female,Yes,Property - Real Estate,27,House Owner,Skilled Labor,No,No
Type C,Average (known delays),Learning / Edu purposes,6891,0-200,2-5 Years,Male,No,Savings Account,30,House Owner,Skilled Labor,No,No
Type C,Good,TV,3423,0-200,2-5 Years,Male,No,Vehicle,25,House Owner,Professional / Management,No,Yes
Type C,Good,Home furniture,2470,0-200,2-5 Years,Male,No,Vehicle,21,House Owner,Skilled Labor,No,No
Type C,critical,Buying a New Car,872,0-200,7+ Years,Female,No,No Security,41,House Owner,Skilled Labor,No,No
Type C,critical,Home furniture,5386,0-200,2-5 Years,Male,Yes,Savings Account,26,House Owner,Skilled Labor,No,No
Type C,critical,Home furniture,5387,,,,,,,,,,
Type C,Good,Home furniture,1301,0-200,2-5 Years,Female,No,Vehicle,22,Renting,Skilled Labor,No,No
Type C,critical,Renovation,1292,200-500,7+ Years,Male,Yes,Property - Real Estate,50,House Owner,Skilled Labor,Yes,Yes
Type C,Average (known delays),Advance Edu/training,345,0-200,7+ Years,Married,No,Vehicle,45,House Owner,Services,No,No
